year,month,dom,hour,min,sec,kp,infi,algeo,apgeo,algsm,apgsm,algse,apgse,tag,rig,zen,azi
2018,5,4,18,0,0,1,0,-50.8,272.2,-66.06,15.26,-62.63,328.4,MTWA,1526,0,0
2018,5,4,18,0,0,1,0,-33.8,138.4,-25.65,221.4,-10.34,226.6,MTWA,1530,0,0
2018,5,4,18,0,0,1,0,-2.176,197.6,-11.49,287.4,9.378,287.3,MTWA,1534,0,0
2018,5,4,18,0,0,1,0,-18.88,220.6,-32.65,307.4,-14.58,301.9,MTWA,1538,0,0
2018,5,4,18,0,0,1,0,-22.31,219.9,-35.9,305.9,-17.47,299.9,MTWA,1543,0,0
2018,5,4,18,0,0,1,0,-15.13,212.4,-27.43,299.4,-8.042,296.1,MTWA,1547,0,0
2018,5,4,18,0,0,1,0,-9.14,183.4,-14.53,271.5,7.313,271.5,MTWA,1551,0,0
2018,5,4,18,0,0,1,0,-56.16,143.4,-47.85,215.9,-32.78,229.7,MTWA,1556,0,0
2018,5,4,18,0,0,1,0,-28.54,263.6,-44.92,357.7,-40.14,337.7,MTWA,1560,0,0
2018,5,4,18,0,0,1,0,-48.95,329.2,-50.15,80.44,-71.39,70.52,MTWA,1564,0,0
2018,5,4,18,0,0,1,2,73.1,76.13,89.11,244.5,68.95,91.07,MTWA,1568,0,0
2018,5,4,18,0,0,1,2,8.637,240.9,-7.715,332.4,2.646,331.5,MTWA,1573,0,0
2018,5,4,18,0,0,1,2,1.723,241.1,-14.63,332.2,-3.811,329,MTWA,1577,0,0
2018,5,4,18,0,0,1,2,-17.1,112,-3.867,201.5,4.233,201.4,MTWA,1581,0,0
2018,5,4,18,0,0,1,2,14.33,293.4,1.401,23.41,-7.203,22.38,MTWA,1586,0,0
2018,5,4,18,0,0,1,2,58.76,197.5,47.27,305.4,62.56,328.6,MTWA,1590,0,0
2018,5,4,18,0,0,1,2,19.83,242.1,3.395,334.2,12.51,337,MTWA,1594,0,0
2018,5,4,18,0,0,1,2,-13.24,239.1,-29.42,328.9,-16.78,321.2,MTWA,1598,0,0
2018,5,4,18,0,0,1,2,-67.68,128.8,-55.52,198.2,-44.36,221.2,MTWA,1603,0,0
2018,5,4,18,0,0,1,2,38.84,70.5,55.54,161,44.16,138.2,MTWA,1607,0,0
2018,5,4,18,0,0,1,2,4.514,289.7,-8.921,21.51,-16.2,16.85,MTWA,1611,0,0
2018,5,4,18,0,0,1,2,-40.59,63.13,-24.08,156.3,-31,167.3,MTWA,1616,0,0
2018,5,4,18,0,0,1,2,-28.58,132.6,-19.26,217.8,-5.188,221.5,MTWA,1620,0,0
2018,5,4,18,0,0,1,2,-7.204,273.9,-22.77,7.031,-23.66,357.5,MTWA,1624,0,0
2018,5,4,18,0,0,1,2,-5.961,234.2,-21.73,324.3,-8.161,319.6,MTWA,1628,0,0
2018,5,4,18,0,0,1,2,15.85,275.1,0.2831,5.726,-1.882,5.42,MTWA,1633,0,0
2018,5,4,18,0,0,1,0,-13.27,282.4,-27.65,17.11,-31.86,4.665,MTWA,1637,0,0
2018,5,4,18,0,0,1,2,20.67,305.4,9.997,33.33,-2.322,34.56,MTWA,1641,0,0
2018,5,4,18,0,0,1,2,-0.1959,282.1,-14.77,14.66,-19.14,8.048,MTWA,1646,0,0
2018,5,4,18,0,0,1,2,-62.24,136.4,-51.92,207,-38.78,225.1,MTWA,1650,0,0
2018,5,4,18,0,0,1,2,-40.04,209.9,-50.94,288.2,-29.87,283.1,MTWA,1654,0,0
2018,5,4,18,0,0,1,2,-64.54,99.6,-48.94,181.5,-43.87,204.3,MTWA,1658,0,0
2018,5,4,18,0,0,1,2,-12.65,309.8,-21.35,45.62,-35.85,36.51,MTWA,1663,0,0
2018,5,4,18,0,0,1,2,4.737,339.2,3.427,69.51,-17.01,68.56,MTWA,1667,0,0
2018,5,4,18,0,0,1,2,21.52,128.9,30.13,227.4,44.64,214.6,MTWA,1671,0,0
2018,5,4,18,0,0,1,2,5.421,331.3,1.836,61.75,-17.34,60.29,MTWA,1676,0,0
